ORDER,GEO,ST,STNAME,COUNTY/METRO,Total Households (2019-2023),Renter Households (2019-2023),% of total households that are renters  (2019-2023),Minimum Wage,Estimated Mean Renter Wage ,SSI Monthly Payment,Zero bedroom FMR,One bedroom FMR,Two bedroom FMR,Three bedroom FMR,Four bedroom FMR,Annual AMI,30% of AMI,50% of AMI,Estimated Median Renter Household Income,Rent affordable at 30% AMI,Rent affordable at 50% AMI,Rent affordable at median renter household income ,Rent affordable with full-time job paying minimum wage ,Rent affordable with full-time job paying mean renter wage,Rent affordable to SSI recipient,Income needed to afford 0 bdrm FMR,Income needed to afford 1 bdrm FMR,Income needed to afford 2 bdrm FMR,Income needed to afford 3 bdrm FMR,Income needed to afford 4 bdrm FMR,Housing Wage for 0 bdrm FMR,Housing Wage for 1 bdrm FMR,Housing Wage for 2 bdrm FMR,Housing Wage for 3 bdrm FMR,Housing Wage for 4 bdrm FMR,Work hours per week at min. wage needed to afford 0 bdrm FMR,Work hours per week at min. wage needed to afford 1 bdrm FMR,Work hours per week at min. wage needed to afford 2 bdrm FMR,Work hours per week at min. wage needed to afford 3 bdrm FMR,Work hours per week at min. wage needed to afford 4 bdrm FMR,# of jobs at minimum wage needed to afford a 0 bdrm FMR,# of jobs at minimum wage needed to afford a 1 bdrm FMR,# of jobs at minimum wage needed to afford a 2 bdrm FMR,# of jobs at minimum wage needed to afford a 3 bdrm FMR,# of jobs at minimum wage needed to afford a 4 bdrm FMR,Work hours per week at mean renter wage needed to afford 0 bdrm FMR,Work hours per week at mean renter wage needed to afford 1 bdrm FMR,Work hours per week at mean renter wage needed to afford 2 bdrm FMR,Work hours per week at mean renter wage needed to afford 3 bdrm FMR,Work hours per week at mean renter wage needed to afford 4 bdrm FMR
1,STATE,CA,California,California,"13,434,847","5,940,036",44%,$16.50,$31.47,"$1,207","$1,897","$2,092","$2,580","$3,376","$3,865","$123,754","$37,126","$61,877","$75,417",$928,"$1,547","$1,885",$858,"$1,637",$362,"$75,878","$83,681","$103,184","$135,053","$154,591",$36.48,$40.23,$49.61,$64.93,$74.32,88,98,120,157,180,2.2,2.4,3.0,3.9,4.5,46,51,63,83,94
2,NONMETRO,CA,California,California Non-metropolitan areas ,"333,130","104,325",31%,$16.50,$17.51,"$1,207","$1,050","$1,123","$1,446","$1,998","$2,389","$92,696","$27,809","$46,348","$48,283",$695,"$1,159","$1,207",$858,$911,$362,"$41,996","$44,929","$57,853","$79,902","$95,566",$20.19,$21.60,$27.81,$38.41,$45.95,49,52,67,93,111,1.2,1.3,1.7,2.3,2.8,46,49,64,88,105
3,METRO,CA,California,Bakersfield MSA,"281,416","113,095",40%,$16.50,$17.62,"$1,207","$1,058","$1,064","$1,380","$1,934","$2,317","$81,700","$24,510","$40,850","$46,333",$613,"$1,021","$1,158",$858,$916,$362,"$42,320","$42,560","$55,200","$77,360","$92,680",$20.35,$20.46,$26.54,$37.19,$44.56,49,50,64,90,108,1.2,1.2,1.6,2.3,2.7,46,46,60,84,101
3,METRO,CA,California,Chico MSA,"82,345","34,358",42%,$16.50,$16.75,"$1,207","$1,069","$1,126","$1,466","$2,054","$2,462","$90,700","$27,210","$45,350","$45,091",$680,"$1,134","$1,127",$858,$871,$362,"$42,760","$45,040","$58,640","$82,160","$98,480",$20.56,$21.65,$28.19,$39.50,$47.35,50,52,68,96,115,1.2,1.3,1.7,2.4,2.9,49,52,67,94,113
3,METRO,CA,California,El Centro MSA,"48,844","21,112",43%,$16.50,$15.16,"$1,207",$940,"$1,056","$1,371","$1,873","$2,287","$73,100","$21,930","$36,550","$40,139",$548,$914,"$1,003",$858,$788,$362,"$37,600","$42,240","$54,840","$74,920","$91,480",$18.08,$20.31,$26.37,$36.02,$43.98,44,49,64,87,107,1.1,1.2,1.6,2.2,2.7,48,54,70,95,116
3,METRO,CA,California,Fresno MSA,"322,163","143,630",45%,$16.50,$17.44,"$1,207","$1,210","$1,217","$1,505","$2,109","$2,415","$88,500","$26,550","$44,250","$49,094",$664,"$1,106","$1,227",$858,$907,$362,"$48,400","$48,680","$60,200","$84,360","$96,600",$23.27,$23.40,$28.94,$40.56,$46.44,56,57,70,98,113,1.4,1.4,1.8,2.5,2.8,53,54,66,93,107
3,METRO,CA,California,Hanford-Corcoran MSA,"43,736","19,760",45%,$16.50,$18.27,"$1,207","$1,151","$1,158","$1,445","$2,025","$2,427","$84,300","$25,290","$42,150","$52,115",$632,"$1,054","$1,303",$858,$950,$362,"$46,040","$46,320","$57,800","$81,000","$97,080",$22.13,$22.27,$27.79,$38.94,$46.67,54,54,67,94,113,1.3,1.3,1.7,2.4,2.8,48,49,61,85,102
3,METRO,CA,California,Los Angeles-Long Beach-Glendale HMFA,"3,390,254","1,828,047",54%,$16.50,$29.06,"$1,207","$1,856","$2,081","$2,625","$3,335","$3,698","$106,600","$31,980","$53,300","$67,460",$800,"$1,333","$1,686",$858,"$1,511",$362,"$74,240","$83,240","$105,000","$133,400","$147,920",$35.69,$40.02,$50.48,$64.13,$71.12,87,97,122,155,172,2.2,2.4,3.1,3.9,4.3,49,55,69,88,98
3,METRO,CA,California,Madera MSA,"44,513","15,345",34%,$16.50,$15.57,"$1,207","$1,099","$1,106","$1,433","$2,008","$2,293","$80,800","$24,240","$40,400","$48,161",$606,"$1,010","$1,204",$858,$809,$362,"$43,960","$44,240","$57,320","$80,320","$91,720",$21.13,$21.27,$27.56,$38.62,$44.10,51,52,67,94,107,1.3,1.3,1.7,2.3,2.7,54,55,71,99,113
3,METRO,CA,California,Merced MSA,"84,605","39,508",47%,$16.50,$18.79,"$1,207","$1,071","$1,227","$1,509","$2,081","$2,534","$84,000","$25,200","$42,000","$52,123",$630,"$1,050","$1,303",$858,$977,$362,"$42,840","$49,080","$60,360","$83,240","$101,360",$20.60,$23.60,$29.02,$40.02,$48.73,50,57,70,97,118,1.2,1.4,1.8,2.4,3.0,44,50,62,85,104
3,METRO,CA,California,Modesto MSA,"176,457","68,813",39%,$16.50,$21.25,"$1,207","$1,130","$1,209","$1,566","$2,194","$2,549","$98,500","$29,550","$49,250","$59,657",$739,"$1,231","$1,491",$858,"$1,105",$362,"$45,200","$48,360","$62,640","$87,760","$101,960",$21.73,$23.25,$30.12,$42.19,$49.02,53,56,73,102,119,1.3,1.4,1.8,2.6,3.0,41,44,57,79,92
3,METRO,CA,California,Napa MSA,"49,663","17,678",36%,$16.50,$24.61,"$1,207","$1,915","$2,128","$2,792","$3,636","$4,144","$146,700","$44,010","$73,350","$83,028","$1,100","$1,834","$2,076",$858,"$1,280",$362,"$76,600","$85,120","$111,680","$145,440","$165,760",$36.83,$40.92,$53.69,$69.92,$79.69,89,99,130,170,193,2.2,2.5,3.3,4.2,4.8,60,67,87,114,130
3,METRO,CA,California,Oakland-Fremont HMFA,"1,004,779","405,558",40%,$16.50,$30.54,"$1,207","$1,937","$2,201","$2,682","$3,432","$4,077","$159,800","$47,940","$79,900","$88,588","$1,199","$1,998","$2,215",$858,"$1,588",$362,"$77,480","$88,040","$107,280","$137,280","$163,080",$37.25,$42.33,$51.58,$66.00,$78.40,90,103,125,160,190,2.3,2.6,3.1,4.0,4.8,49,55,68,86,103
3,METRO,CA,California,Oxnard-Thousand Oaks-Ventura MSA,"278,045","99,657",36%,$16.50,$23.00,"$1,207","$1,871","$2,147","$2,569","$3,505","$4,080","$131,300","$39,390","$65,650","$79,104",$985,"$1,641","$1,978",$858,"$1,196",$362,"$74,840","$85,880","$102,760","$140,200","$163,200",$35.98,$41.29,$49.40,$67.40,$78.46,87,100,120,163,190,2.2,2.5,3.0,4.1,4.8,63,72,86,117,136
3,METRO,CA,California,Redding MSA,"71,473","24,762",35%,$16.50,$19.41,"$1,207","$1,151","$1,229","$1,613","$2,260","$2,709","$101,800","$30,540","$50,900","$53,554",$764,"$1,273","$1,339",$858,"$1,009",$362,"$46,040","$49,160","$64,520","$90,400","$108,360",$22.13,$23.63,$31.02,$43.46,$52.10,54,57,75,105,126,1.3,1.4,1.9,2.6,3.2,46,49,64,90,107
3,METRO,CA,California,Riverside-San Bernardino-Ontario MSA,"1,430,238","494,285",35%,$16.50,$19.24,"$1,207","$1,776","$1,852","$2,306","$3,079","$3,745","$103,900","$31,170","$51,950","$62,614",$779,"$1,299","$1,565",$858,"$1,001",$362,"$71,040","$74,080","$92,240","$123,160","$149,800",$34.15,$35.62,$44.35,$59.21,$72.02,83,86,108,144,175,2.1,2.2,2.7,3.6,4.4,71,74,92,123,150
3,METRO,CA,California,Sacramento--Roseville--Arden-Arcade HMFA,"799,364","292,937",37%,$16.50,$22.64,"$1,207","$1,679","$1,777","$2,206","$2,992","$3,455","$120,800","$36,240","$60,400","$64,933",$906,"$1,510","$1,623",$858,"$1,177",$362,"$67,160","$71,080","$88,240","$119,680","$138,200",$32.29,$34.17,$42.42,$57.54,$66.44,78,83,103,139,161,2.0,2.1,2.6,3.5,4.0,57,60,75,102,117
3,METRO,CA,California,Salinas MSA,"132,046","63,013",48%,$16.50,$20.62,"$1,207","$2,414","$2,479","$2,982","$4,025","$4,383","$104,500","$31,350","$52,250","$74,444",$784,"$1,306","$1,861",$858,"$1,072",$362,"$96,560","$99,160","$119,280","$161,000","$175,320",$46.42,$47.67,$57.35,$77.40,$84.29,113,116,139,188,204,2.8,2.9,3.5,4.7,5.1,90,92,111,150,163
