ORDER,GEO,ST,STNAME,COUNTY/METRO,Total Households (2019-2023),Renter Households (2019-2023),% of total households that are renters  (2019-2023),Minimum Wage,Estimated Mean Renter Wage ,SSI Monthly Payment,Zero bedroom FMR,One bedroom FMR,Two bedroom FMR,Three bedroom FMR,Four bedroom FMR,Annual AMI,30% of AMI,50% of AMI,Estimated Median Renter Household Income,Rent affordable at 30% AMI,Rent affordable at 50% AMI,Rent affordable at median renter household income ,Rent affordable with full-time job paying minimum wage ,Rent affordable with full-time job paying mean renter wage,Rent affordable to SSI recipient,Income needed to afford 0 bdrm FMR,Income needed to afford 1 bdrm FMR,Income needed to afford 2 bdrm FMR,Income needed to afford 3 bdrm FMR,Income needed to afford 4 bdrm FMR,Housing Wage for 0 bdrm FMR,Housing Wage for 1 bdrm FMR,Housing Wage for 2 bdrm FMR,Housing Wage for 3 bdrm FMR,Housing Wage for 4 bdrm FMR,Work hours per week at min. wage needed to afford 0 bdrm FMR,Work hours per week at min. wage needed to afford 1 bdrm FMR,Work hours per week at min. wage needed to afford 2 bdrm FMR,Work hours per week at min. wage needed to afford 3 bdrm FMR,Work hours per week at min. wage needed to afford 4 bdrm FMR,# of jobs at minimum wage needed to afford a 0 bdrm FMR,# of jobs at minimum wage needed to afford a 1 bdrm FMR,# of jobs at minimum wage needed to afford a 2 bdrm FMR,# of jobs at minimum wage needed to afford a 3 bdrm FMR,# of jobs at minimum wage needed to afford a 4 bdrm FMR,Work hours per week at mean renter wage needed to afford 0 bdrm FMR,Work hours per week at mean renter wage needed to afford 1 bdrm FMR,Work hours per week at mean renter wage needed to afford 2 bdrm FMR,Work hours per week at mean renter wage needed to afford 3 bdrm FMR,Work hours per week at mean renter wage needed to afford 4 bdrm FMR
1,STATE,WA,Washington,Washington,"3,020,558","1,090,864",36%,$16.66,$29.95,"$1,003","$1,698","$1,792","$2,138","$2,873","$3,342","$128,304","$38,491","$64,152","$69,894",$962,"$1,604","$1,747",$866,"$1,557",$301,"$67,924","$71,696","$85,501","$114,940","$133,697",$32.66,$34.47,$41.11,$55.26,$64.28,78,83,99,133,154,2.0,2.1,2.5,3.3,3.9,44,46,55,74,86
2,NONMETRO,WA,Washington,Washington Non-metropolitan areas ,"317,356","89,100",28%,$16.66,$15.97,"$1,003",$890,$973,"$1,245","$1,720","$1,990","$96,011","$28,803","$48,006","$45,798",$720,"$1,200","$1,145",$866,$831,$301,"$35,607","$38,914","$49,782","$68,801","$79,613",$17.12,$18.71,$23.93,$33.08,$38.28,41,45,57,79,92,1.0,1.1,1.4,2.0,2.3,43,47,60,83,96
3,METRO,WA,Washington,Bellingham MSA,"92,411","33,703",36%,$16.66,$18.76,"$1,003","$1,348","$1,381","$1,642","$2,301","$2,757","$108,400","$32,520","$54,200","$53,220",$813,"$1,355","$1,331",$866,$976,$301,"$53,920","$55,240","$65,680","$92,040","$110,280",$25.92,$26.56,$31.58,$44.25,$53.02,62,64,76,106,127,1.6,1.6,1.9,2.7,3.2,55,57,67,94,113
3,METRO,WA,Washington,Bremerton-Silverdale MSA,"107,264","32,019",30%,$16.66,$19.39,"$1,003","$1,411","$1,568","$2,057","$2,685","$3,090","$124,300","$37,290","$62,150","$69,544",$932,"$1,554","$1,739",$866,"$1,008",$301,"$56,440","$62,720","$82,280","$107,400","$123,600",$27.13,$30.15,$39.56,$51.63,$59.42,65,72,95,124,143,1.6,1.8,2.4,3.1,3.6,56,62,82,107,123
3,METRO,WA,Washington,Kennewick-Richland MSA,"105,814","32,876",31%,$16.66,$18.68,"$1,003","$1,101","$1,236","$1,503","$2,003","$2,318","$105,600","$31,680","$52,800","$54,169",$792,"$1,320","$1,354",$866,$971,$301,"$44,040","$49,440","$60,120","$80,120","$92,720",$21.17,$23.77,$28.90,$38.52,$44.58,51,57,69,92,107,1.3,1.4,1.7,2.3,2.7,45,51,62,82,95
3,METRO,WA,Washington,Lewiston MSA,"9,438","2,492",26%,$16.66,$15.48,"$1,003",$915,$921,"$1,208","$1,693","$2,029","$87,100","$26,130","$43,550","$43,675",$653,"$1,089","$1,092",$866,$805,$301,"$36,600","$36,840","$48,320","$67,720","$81,160",$17.60,$17.71,$23.23,$32.56,$39.02,42,43,56,78,94,1.1,1.1,1.4,2.0,2.3,45,46,60,84,101
3,METRO,WA,Washington,Longview MSA,"43,409","14,693",34%,$16.66,$20.67,"$1,003",$963,"$1,186","$1,404","$1,967","$2,358","$85,500","$25,650","$42,750","$48,864",$641,"$1,069","$1,222",$866,"$1,075",$301,"$38,520","$47,440","$56,160","$78,680","$94,320",$18.52,$22.81,$27.00,$37.83,$45.35,44,55,65,91,109,1.1,1.4,1.6,2.3,2.7,36,44,52,73,88
3,METRO,WA,Washington,Mount Vernon-Anacortes MSA,"51,518","15,124",29%,$16.66,$17.89,"$1,003","$1,166","$1,300","$1,701","$2,384","$2,592","$111,600","$33,480","$55,800","$55,043",$837,"$1,395","$1,376",$866,$930,$301,"$46,640","$52,000","$68,040","$95,360","$103,680",$22.42,$25.00,$32.71,$45.85,$49.85,54,60,79,110,120,1.3,1.5,2.0,2.8,3.0,50,56,73,103,111
3,METRO,WA,Washington,Olympia-Tumwater MSA,"117,172","37,780",32%,$16.66,$19.74,"$1,003","$1,393","$1,585","$1,843","$2,526","$3,095","$116,700","$35,010","$58,350","$62,139",$875,"$1,459","$1,553",$866,"$1,026",$301,"$55,720","$63,400","$73,720","$101,040","$123,800",$26.79,$30.48,$35.44,$48.58,$59.52,64,73,85,117,143,1.6,1.8,2.1,2.9,3.6,54,62,72,98,121
3,METRO,WA,Washington,Portland-Vancouver-Hillsboro MSA,"198,352","66,312",33%,$16.66,$23.32,"$1,003","$1,628","$1,750","$1,997","$2,739","$3,217","$124,100","$37,230","$62,050","$68,152",$931,"$1,551","$1,704",$866,"$1,213",$301,"$65,120","$70,000","$79,880","$109,560","$128,680",$31.31,$33.65,$38.40,$52.67,$61.87,75,81,92,126,149,1.9,2.0,2.3,3.2,3.7,54,58,66,90,106
